"COD_IBGE","NM_MUN","NM_MUN_S","BIOMA","NM_UF"
4200507,"ÁGUAS DE CHAPECÓ","AGUAS DE CHAPECO","Mata Atlantica","SANTA CATARINA"
3500501,"ÁGUAS DE LINDÓIA","AGUAS DE LINDOIA","Mata Atlantica","SAO PAULO"
3500550,"ÁGUAS DE SANTA BÁRBARA","AGUAS DE SANTA BARBARA","Cerrado","SAO PAULO"
3500550,"ÁGUAS DE SANTA BÁRBARA","AGUAS DE SANTA BARBARA","Mata Atlantica","SAO PAULO"
3500600,"ÁGUAS DE SÃO PEDRO","AGUAS DE SAO PEDRO","Cerrado","SAO PAULO"
3500600,"ÁGUAS DE SÃO PEDRO","AGUAS DE SAO PEDRO","Mata Atlantica","SAO PAULO"
3100906,"ÁGUAS FORMOSAS","AGUAS FORMOSAS","Mata Atlantica","MINAS GERAIS"
4200556,"ÁGUAS FRIAS","AGUAS FRIAS","Mata Atlantica","SANTA CATARINA"
5200258,"ÁGUAS LINDAS DE GOIÁS","AGUAS LINDAS DE GOIAS","Cerrado","GOIAS"
4200606,"ÁGUAS MORNAS","AGUAS MORNAS","Mata Atlantica","SANTA CATARINA"
3101003,"ÁGUAS VERMELHAS","AGUAS VERMELHAS","Mata Atlantica","MINAS GERAIS"
4300109,"AGUDO","AGUDO","Mata Atlantica","RIO GRANDE DO SUL"
3500709,"AGUDOS","AGUDOS","Cerrado","SAO PAULO"
3500709,"AGUDOS","AGUDOS","Mata Atlantica","SAO PAULO"
4100301,"AGUDOS DO SUL","AGUDOS DO SUL","Mata Atlantica","PARANA"
3200136,"ÁGUIA BRANCA","AGUIA BRANCA","Mata Atlantica","ESPIRITO SANTO"
2500205,"AGUIAR","AGUIAR","Caatinga","PARAIBA"
1700301,"AGUIARNÓPOLIS","AGUIARNOPOLIS","Cerrado","TOCANTINS"
3101102,"AIMORÉS","AIMORES","Mata Atlantica","MINAS GERAIS"
2900603,"AIQUARA","AIQUARA","Mata Atlantica","BAHIA"
2300408,"AIUABA","AIUABA","Caatinga","CEARA"
3101201,"AIURUOCA","AIURUOCA","Mata Atlantica","MINAS GERAIS"
4300208,"AJURICABA","AJURICABA","Mata Atlantica","RIO GRANDE DO SUL"
4300208,"AJURICABA","AJURICABA","Pampa","RIO GRANDE DO SUL"
3101300,"ALAGOA","ALAGOA","Mata Atlantica","MINAS GERAIS"
2500304,"ALAGOA GRANDE","ALAGOA GRANDE","Caatinga","PARAIBA"
2500403,"ALAGOA NOVA","ALAGOA NOVA","Caatinga","PARAIBA"
2600609,"ALAGOINHA","ALAGOINHA","Caatinga","PERNAMBUCO"
2500502,"ALAGOINHA","ALAGOINHA","Caatinga","PARAIBA"
2200251,"ALAGOINHA DO PIAUÍ","ALAGOINHA DO PIAUI","Caatinga","PIAUI"
2900702,"ALAGOINHAS","ALAGOINHAS","Mata Atlantica","BAHIA"
3500758,"ALAMBARI","ALAMBARI","Cerrado","SAO PAULO"
3500758,"ALAMBARI","ALAMBARI","Mata Atlantica","SAO PAULO"
3101409,"ALBERTINA","ALBERTINA","Mata Atlantica","MINAS GERAIS"
2100204,"ALCÂNTARA","ALCANTARA","Amazonia","MARANHAO"
2300507,"ALCÂNTARAS","ALCANTARAS","Caatinga","CEARA"
2500536,"ALCANTIL","ALCANTIL","Caatinga","PARAIBA"
5000252,"ALCINÓPOLIS","ALCINOPOLIS","Cerrado","MATO GROSSO DO SUL"
2900801,"ALCOBAÇA","ALCOBACA","Mata Atlantica","BAHIA"
2100303,"ALDEIAS ALTAS","ALDEIAS ALTAS","Cerrado","MARANHAO"
4300307,"ALECRIM","ALECRIM","Mata Atlantica","RIO GRANDE DO SUL"
3200201,"ALEGRE","ALEGRE","Mata Atlantica","ESPIRITO SANTO"
4300406,"ALEGRETE","ALEGRETE","Pampa","RIO GRANDE DO SUL"
2200277,"ALEGRETE DO PIAUÍ","ALEGRETE DO PIAUI","Caatinga","PIAUI"
4300455,"ALEGRIA","ALEGRIA","Mata Atlantica","RIO GRANDE DO SUL"
4300455,"ALEGRIA","ALEGRIA","Pampa","RIO GRANDE DO SUL"
3101508,"ALÉM PARAÍBA","ALEM PARAIBA","Mata Atlantica","MINAS GERAIS"
1500404,"ALENQUER","ALENQUER","Amazonia","PARA"
2400505,"ALEXANDRIA","ALEXANDRIA","Caatinga","RIO GRANDE DO NORTE"
5200308,"ALEXÂNIA","ALEXANIA","Cerrado","GOIAS"
3101607,"ALFENAS","ALFENAS","Cerrado","MINAS GERAIS"
3101607,"ALFENAS","ALFENAS","Mata Atlantica","MINAS GERAIS"
3200300,"ALFREDO CHAVES","ALFREDO CHAVES","Mata Atlantica","ESPIRITO SANTO"
3500808,"ALFREDO MARCONDES","ALFREDO MARCONDES","Mata Atlantica","SAO PAULO"
3101631,"ALFREDO VASCONCELOS","ALFREDO VASCONCELOS","Mata Atlantica","MINAS GERAIS"
4200705,"ALFREDO WAGNER","ALFREDO WAGNER","Mata Atlantica","SANTA CATARINA"
2500577,"ALGODÃO DE JANDAÍRA","ALGODAO DE JANDAIRA","Caatinga","PARAIBA"
2500601,"ALHANDRA","ALHANDRA","Mata Atlantica","PARAIBA"
2600708,"ALIANÇA","ALIANCA","Mata Atlantica","PERNAMBUCO"
1700350,"ALIANÇA DO TOCANTINS","ALIANCA DO TOCANTINS","Cerrado","TOCANTINS"
2900900,"ALMADINA","ALMADINA","Mata Atlantica","BAHIA"
1700400,"ALMAS","ALMAS","Cerrado","TOCANTINS"
1500503,"ALMEIRIM","ALMEIRIM","Amazonia","PARA"
3101706,"ALMENARA","ALMENARA","Mata Atlantica","MINAS GERAIS"
2400604,"ALMINO AFONSO","ALMINO AFONSO","Caatinga","RIO GRANDE DO NORTE"
4100400,"ALMIRANTE TAMANDARÉ","ALMIRANTE TAMANDARE","Mata Atlantica","PARANA"
4300471,"ALMIRANTE TAMANDARÉ DO SUL","ALMIRANTE TAMANDARE DO SUL","Mata Atlantica","RIO GRANDE DO SUL"
4300471,"ALMIRANTE TAMANDARÉ DO SUL","ALMIRANTE TAMANDARE DO SUL","Pampa","RIO GRANDE DO SUL"
5200506,"ALOÂNDIA","ALOANDIA","Cerrado","GOIAS"
3101805,"ALPERCATA","ALPERCATA","Mata Atlantica","MINAS GERAIS"
4300505,"ALPESTRE","ALPESTRE","Mata Atlantica","RIO GRANDE DO SUL"
3101904,"ALPINÓPOLIS","ALPINOPOLIS","Cerrado","MINAS GERAIS"
3101904,"ALPINÓPOLIS","ALPINOPOLIS","Mata Atlantica","MINAS GERAIS"
5100250,"ALTA FLORESTA","ALTA FLORESTA","Amazonia","MATO GROSSO"
1100015,"ALTA FLORESTA D'OESTE","ALTA FLORESTA D'OESTE","Amazonia","RONDONIA"
3500907,"ALTAIR","ALTAIR","Cerrado","SAO PAULO"
3500907,"ALTAIR","ALTAIR","Mata Atlantica","SAO PAULO"
1500602,"ALTAMIRA","ALTAMIRA","Amazonia","PARA"
2100402,"ALTAMIRA DO MARANHÃO","ALTAMIRA DO MARANHAO","Amazonia","MARANHAO"
