"COD_IBGE","NM_MUN","NM_MUN_S","BIOMA","NM_UF"
4203204,"CAMBORIÚ","CAMBORIU","Mata Atlantica","SANTA CATARINA"
3300902,"CAMBUCI","CAMBUCI","Mata Atlantica","RIO DE JANEIRO"
3110608,"CAMBUÍ","CAMBUI","Mata Atlantica","MINAS GERAIS"
3110707,"CAMBUQUIRA","CAMBUQUIRA","Mata Atlantica","MINAS GERAIS"
1502103,"CAMETÁ","CAMETA","Amazonia","PARA"
2302602,"CAMOCIM","CAMOCIM","Caatinga","CEARA"
2603504,"CAMOCIM DE SÃO FÉLIX","CAMOCIM DE SAO FELIX","Caatinga","PERNAMBUCO"
2603504,"CAMOCIM DE SÃO FÉLIX","CAMOCIM DE SAO FELIX","Mata Atlantica","PERNAMBUCO"
3110806,"CAMPANÁRIO","CAMPANARIO","Mata Atlantica","MINAS GERAIS"
3110905,"CAMPANHA","CAMPANHA","Mata Atlantica","MINAS GERAIS"
2701357,"CAMPESTRE","CAMPESTRE","Mata Atlantica","ALAGOAS"
3111002,"CAMPESTRE","CAMPESTRE","Mata Atlantica","MINAS GERAIS"
4303673,"CAMPESTRE DA SERRA","CAMPESTRE DA SERRA","Mata Atlantica","RIO GRANDE DO SUL"
5204607,"CAMPESTRE DE GOIÁS","CAMPESTRE DE GOIAS","Cerrado","GOIAS"
2102556,"CAMPESTRE DO MARANHÃO","CAMPESTRE DO MARANHAO","Cerrado","MARANHAO"
4103909,"CAMPINA DA LAGOA","CAMPINA DA LAGOA","Mata Atlantica","PARANA"
4303707,"CAMPINA DAS MISSÕES","CAMPINA DAS MISSOES","Mata Atlantica","RIO GRANDE DO SUL"
4303707,"CAMPINA DAS MISSÕES","CAMPINA DAS MISSOES","Pampa","RIO GRANDE DO SUL"
3509452,"CAMPINA DO MONTE ALEGRE","CAMPINA DO MONTE ALEGRE","Cerrado","SAO PAULO"
3509452,"CAMPINA DO MONTE ALEGRE","CAMPINA DO MONTE ALEGRE","Mata Atlantica","SAO PAULO"
4103958,"CAMPINA DO SIMÃO","CAMPINA DO SIMAO","Mata Atlantica","PARANA"
2504009,"CAMPINA GRANDE","CAMPINA GRANDE","Caatinga","PARAIBA"
4104006,"CAMPINA GRANDE DO SUL","CAMPINA GRANDE DO SUL","Mata Atlantica","PARANA"
3111101,"CAMPINA VERDE","CAMPINA VERDE","Cerrado","MINAS GERAIS"
3111101,"CAMPINA VERDE","CAMPINA VERDE","Mata Atlantica","MINAS GERAIS"
5204656,"CAMPINAÇU","CAMPINACU","Cerrado","GOIAS"
5102603,"CAMPINÁPOLIS","CAMPINAPOLIS","Amazonia","MATO GROSSO"
5102603,"CAMPINÁPOLIS","CAMPINAPOLIS","Cerrado","MATO GROSSO"
3509502,"CAMPINAS","CAMPINAS","Mata Atlantica","SAO PAULO"
2202109,"CAMPINAS DO PIAUÍ","CAMPINAS DO PIAUI","Caatinga","PIAUI"
4303806,"CAMPINAS DO SUL","CAMPINAS DO SUL","Mata Atlantica","RIO GRANDE DO SUL"
4303806,"CAMPINAS DO SUL","CAMPINAS DO SUL","Pampa","RIO GRANDE DO SUL"
5204706,"CAMPINORTE","CAMPINORTE","Cerrado","GOIAS"
4203303,"CAMPO ALEGRE","CAMPO ALEGRE","Mata Atlantica","SANTA CATARINA"
2701407,"CAMPO ALEGRE","CAMPO ALEGRE","Mata Atlantica","ALAGOAS"
5204805,"CAMPO ALEGRE DE GOIÁS","CAMPO ALEGRE DE GOIAS","Cerrado","GOIAS"
2905909,"CAMPO ALEGRE DE LOURDES","CAMPO ALEGRE DE LOURDES","Caatinga","BAHIA"
2202117,"CAMPO ALEGRE DO FIDALGO","CAMPO ALEGRE DO FIDALGO","Caatinga","PIAUI"
3111150,"CAMPO AZUL","CAMPO AZUL","Cerrado","MINAS GERAIS"
3111200,"CAMPO BELO","CAMPO BELO","Cerrado","MINAS GERAIS"
3111200,"CAMPO BELO","CAMPO BELO","Mata Atlantica","MINAS GERAIS"
4203402,"CAMPO BELO DO SUL","CAMPO BELO DO SUL","Mata Atlantica","SANTA CATARINA"
4303905,"CAMPO BOM","CAMPO BOM","Mata Atlantica","RIO GRANDE DO SUL"
4104055,"CAMPO BONITO","CAMPO BONITO","Mata Atlantica","PARANA"
2801009,"CAMPO DO BRITO","CAMPO DO BRITO","Caatinga","SERGIPE"
2801009,"CAMPO DO BRITO","CAMPO DO BRITO","Mata Atlantica","SERGIPE"
3111309,"CAMPO DO MEIO","CAMPO DO MEIO","Cerrado","MINAS GERAIS"
3111309,"CAMPO DO MEIO","CAMPO DO MEIO","Mata Atlantica","MINAS GERAIS"
4104105,"CAMPO DO TENENTE","CAMPO DO TENENTE","Mata Atlantica","PARANA"
4203501,"CAMPO ERÊ","CAMPO ERE","Mata Atlantica","SANTA CATARINA"
3111408,"CAMPO FLORIDO","CAMPO FLORIDO","Cerrado","MINAS GERAIS"
3111408,"CAMPO FLORIDO","CAMPO FLORIDO","Mata Atlantica","MINAS GERAIS"
2906006,"CAMPO FORMOSO","CAMPO FORMOSO","Caatinga","BAHIA"
2701506,"CAMPO GRANDE","CAMPO GRANDE","Caatinga","ALAGOAS"
5002704,"CAMPO GRANDE","CAMPO GRANDE","Cerrado","MATO GROSSO DO SUL"
2202133,"CAMPO GRANDE DO PIAUÍ","CAMPO GRANDE DO PIAUI","Caatinga","PIAUI"
4104204,"CAMPO LARGO","CAMPO LARGO","Mata Atlantica","PARANA"
2202174,"CAMPO LARGO DO PIAUÍ","CAMPO LARGO DO PIAUI","Cerrado","PIAUI"
5204854,"CAMPO LIMPO DE GOIÁS","CAMPO LIMPO DE GOIAS","Cerrado","GOIAS"
3509601,"CAMPO LIMPO PAULISTA","CAMPO LIMPO PAULISTA","Mata Atlantica","SAO PAULO"
4104253,"CAMPO MAGRO","CAMPO MAGRO","Mata Atlantica","PARANA"
2202208,"CAMPO MAIOR","CAMPO MAIOR","Cerrado","PIAUI"
4104303,"CAMPO MOURÃO","CAMPO MOURAO","Mata Atlantica","PARANA"
4304002,"CAMPO NOVO","CAMPO NOVO","Mata Atlantica","RIO GRANDE DO SUL"
1100700,"CAMPO NOVO DE RONDÔNIA","CAMPO NOVO DE RONDONIA","Amazonia","RONDONIA"
5102637,"CAMPO NOVO DO PARECIS","CAMPO NOVO DO PARECIS","Amazonia","MATO GROSSO"
5102637,"CAMPO NOVO DO PARECIS","CAMPO NOVO DO PARECIS","Cerrado","MATO GROSSO"
2402105,"CAMPO REDONDO","CAMPO REDONDO","Caatinga","RIO GRANDE DO NORTE"
5102678,"CAMPO VERDE","CAMPO VERDE","Cerrado","MATO GROSSO"
3111507,"CAMPOS ALTOS","CAMPOS ALTOS","Cerrado","MINAS GERAIS"
5204904,"CAMPOS BELOS","CAMPOS BELOS","Cerrado","GOIAS"
4304101,"CAMPOS BORGES","CAMPOS BORGES","Mata Atlantica","RIO GRANDE DO SUL"
4304101,"CAMPOS BORGES","CAMPOS BORGES","Pampa","RIO GRANDE DO SUL"
5102686,"CAMPOS DE JÚLIO","CAMPOS DE JULIO","Cerrado","MATO GROSSO"
3509700,"CAMPOS DO JORDÃO","CAMPOS DO JORDAO","Mata Atlantica","SAO PAULO"
3301009,"CAMPOS DOS GOYTACAZES","CAMPOS DOS GOYTACAZES","Mata Atlantica","RIO DE JANEIRO"
3111606,"CAMPOS GERAIS","CAMPOS GERAIS","Cerrado","MINAS GERAIS"
3111606,"CAMPOS GERAIS","CAMPOS GERAIS","Mata Atlantica","MINAS GERAIS"
1703842,"CAMPOS LINDOS","CAMPOS LINDOS","Cerrado","TOCANTINS"
4203600,"CAMPOS NOVOS","CAMPOS NOVOS","Mata Atlantica","SANTA CATARINA"
3509809,"CAMPOS NOVOS PAULISTA","CAMPOS NOVOS PAULISTA","Cerrado","SAO PAULO"
3509809,"CAMPOS NOVOS PAULISTA","CAMPOS NOVOS PAULISTA","Mata Atlantica","SAO PAULO"
2302701,"CAMPOS SALES","CAMPOS SALES","Caatinga","CEARA"
5204953,"CAMPOS VERDES","CAMPOS VERDES","Cerrado","GOIAS"
2603603,"CAMUTANGA","CAMUTANGA","Mata Atlantica","PERNAMBUCO"
3111903,"CANA VERDE","CANA VERDE","Mata Atlantica","MINAS GERAIS"
3111705,"CANAÃ","CANAA","Mata Atlantica","MINAS GERAIS"
1502152,"CANAÃ DOS CARAJÁS","CANAA DOS CARAJAS","Amazonia","PARA"
5102694,"CANABRAVA DO NORTE","CANABRAVA DO NORTE","Amazonia","MATO GROSSO"
5102694,"CANABRAVA DO NORTE","CANABRAVA DO NORTE","Cerrado","MATO GROSSO"
3509908,"CANANÉIA","CANANEIA","Mata Atlantica","SAO PAULO"
3509908,"CANANÉIA","CANANEIA","Mata Atlantica","SAO PAULO"
3509908,"CANANÉIA","CANANEIA","Mata Atlantica","SAO PAULO"
3509908,"CANANÉIA","CANANEIA","Mata Atlantica","SAO PAULO"
2701605,"CANAPI","CANAPI","Caatinga","ALAGOAS"
3111804,"CANÁPOLIS","CANAPOLIS","Cerrado","MINAS GERAIS"
3111804,"CANÁPOLIS","CANAPOLIS","Mata Atlantica","MINAS GERAIS"
2906105,"CANÁPOLIS","CANAPOLIS","Caatinga","BAHIA"
2906105,"CANÁPOLIS","CANAPOLIS","Cerrado","BAHIA"
2906204,"CANARANA","CANARANA","Caatinga","BAHIA"
5102702,"CANARANA","CANARANA","Amazonia","MATO GROSSO"
5102702,"CANARANA","CANARANA","Cerrado","MATO GROSSO"
3509957,"CANAS","CANAS","Mata Atlantica","SAO PAULO"
2202251,"CANAVIEIRA","CANAVIEIRA","Caatinga","PIAUI"
2202251,"CANAVIEIRA","CANAVIEIRA","Cerrado","PIAUI"
2906303,"CANAVIEIRAS","CANAVIEIRAS","Mata Atlantica","BAHIA"
2906402,"CANDEAL","CANDEAL","Caatinga","BAHIA"
2906402,"CANDEAL","CANDEAL","Mata Atlantica","BAHIA"
3112000,"CANDEIAS","CANDEIAS","Cerrado","MINAS GERAIS"
3112000,"CANDEIAS","CANDEIAS","Mata Atlantica","MINAS GERAIS"
2906501,"CANDEIAS","CANDEIAS","Mata Atlantica","BAHIA"
1100809,"CANDEIAS DO JAMARI","CANDEIAS DO JAMARI","Amazonia","RONDONIA"
4304200,"CANDELÁRIA","CANDELARIA","Mata Atlantica","RIO GRANDE DO SUL"
4304200,"CANDELÁRIA","CANDELARIA","Pampa","RIO GRANDE DO SUL"
2906600,"CANDIBA","CANDIBA","Caatinga","BAHIA"
4104402,"CÂNDIDO DE ABREU","CANDIDO DE ABREU","Mata Atlantica","PARANA"
4304309,"CÂNDIDO GODÓI","CANDIDO GODOI","Mata Atlantica","RIO GRANDE DO SUL"
4304309,"CÂNDIDO GODÓI","CANDIDO GODOI","Pampa","RIO GRANDE DO SUL"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
2102606,"CÂNDIDO MENDES","CANDIDO MENDES","Amazonia","MARANHAO"
3510005,"CÂNDIDO MOTA","CANDIDO MOTA","Cerrado","SAO PAULO"
3510005,"CÂNDIDO MOTA","CANDIDO MOTA","Mata Atlantica","SAO PAULO"
3510104,"CÂNDIDO RODRIGUES","CANDIDO RODRIGUES","Mata Atlantica","SAO PAULO"
2906709,"CÂNDIDO SALES","CANDIDO SALES","Mata Atlantica","BAHIA"
4304358,"CANDIOTA","CANDIOTA","Pampa","RIO GRANDE DO SUL"
4104428,"CANDÓI","CANDOI","Mata Atlantica","PARANA"
4304408,"CANELA","CANELA","Mata Atlantica","RIO GRANDE DO SUL"
4203709,"CANELINHA","CANELINHA","Mata Atlantica","SANTA CATARINA"
2402204,"CANGUARETAMA","CANGUARETAMA","Caatinga","RIO GRANDE DO NORTE"
2402204,"CANGUARETAMA","CANGUARETAMA","Mata Atlantica","RIO GRANDE DO NORTE"
4304507,"CANGUÇU","CANGUCU","Pampa","RIO GRANDE DO SUL"
2801108,"CANHOBA","CANHOBA","Caatinga","SERGIPE"
2801108,"CANHOBA","CANHOBA","Mata Atlantica","SERGIPE"
2603702,"CANHOTINHO","CANHOTINHO","Caatinga","PERNAMBUCO"
2603702,"CANHOTINHO","CANHOTINHO","Mata Atlantica","PERNAMBUCO"
2302800,"CANINDÉ","CANINDE","Caatinga","CEARA"
2801207,"CANINDÉ DE SÃO FRANCISCO","CANINDE DE SAO FRANCISCO","Caatinga","SERGIPE"
3510153,"CANITAR","CANITAR","Mata Atlantica","SAO PAULO"
4304606,"CANOAS","CANOAS","Pampa","RIO GRANDE DO SUL"
4203808,"CANOINHAS","CANOINHAS","Mata Atlantica","SANTA CATARINA"
2906808,"CANSANÇÃO","CANSANCAO","Caatinga","BAHIA"
4104451,"CANTAGALO","CANTAGALO","Mata Atlantica","PARANA"
3112059,"CANTAGALO","CANTAGALO","Mata Atlantica","MINAS GERAIS"
3301108,"CANTAGALO","CANTAGALO","Mata Atlantica","RIO DE JANEIRO"
2102705,"CANTANHEDE","CANTANHEDE","Cerrado","MARANHAO"
1400175,"CANTÁ","CANTA","Amazonia","RORAIMA"
2202307,"CANTO DO BURITI","CANTO DO BURITI","Caatinga","PIAUI"
2906824,"CANUDOS","CANUDOS","Caatinga","BAHIA"
4304614,"CANUDOS DO VALE","CANUDOS DO VALE","Mata Atlantica","RIO GRANDE DO SUL"
1300904,"CANUTAMA","CANUTAMA","Amazonia","AMAZONAS"
1502202,"CAPANEMA","CAPANEMA","Amazonia","PARA"
4104501,"CAPANEMA","CAPANEMA","Mata Atlantica","PARANA"
4203253,"CAPÃO ALTO","CAPAO ALTO","Mata Atlantica","SANTA CATARINA"
3510203,"CAPÃO BONITO","CAPAO BONITO","Cerrado","SAO PAULO"
3510203,"CAPÃO BONITO","CAPAO BONITO","Mata Atlantica","SAO PAULO"
4304622,"CAPÃO BONITO DO SUL","CAPAO BONITO DO SUL","Mata Atlantica","RIO GRANDE DO SUL"
4304630,"CAPÃO DA CANOA","CAPAO DA CANOA","Mata Atlantica","RIO GRANDE DO SUL"
4304655,"CAPÃO DO CIPÓ","CAPAO DO CIPO","Pampa","RIO GRANDE DO SUL"
4304663,"CAPÃO DO LEÃO","CAPAO DO LEAO","Pampa","RIO GRANDE DO SUL"
3112109,"CAPARAÓ","CAPARAO","Mata Atlantica","MINAS GERAIS"
2801306,"CAPELA","CAPELA","Mata Atlantica","SERGIPE"
2701704,"CAPELA","CAPELA","Mata Atlantica","ALAGOAS"
4304689,"CAPELA DE SANTANA","CAPELA DE SANTANA","Mata Atlantica","RIO GRANDE DO SUL"
4304689,"CAPELA DE SANTANA","CAPELA DE SANTANA","Pampa","RIO GRANDE DO SUL"
3510302,"CAPELA DO ALTO","CAPELA DO ALTO","Mata Atlantica","SAO PAULO"
2906857,"CAPELA DO ALTO ALEGRE","CAPELA DO ALTO ALEGRE","Caatinga","BAHIA"
3112208,"CAPELA NOVA","CAPELA NOVA","Mata Atlantica","MINAS GERAIS"
3112307,"CAPELINHA","CAPELINHA","Cerrado","MINAS GERAIS"
3112307,"CAPELINHA","CAPELINHA","Mata Atlantica","MINAS GERAIS"
3112406,"CAPETINGA","CAPETINGA","Cerrado","MINAS GERAIS"
3112406,"CAPETINGA","CAPETINGA","Mata Atlantica","MINAS GERAIS"
2504033,"CAPIM","CAPIM","Caatinga","PARAIBA"
2504033,"CAPIM","CAPIM","Mata Atlantica","PARAIBA"
3112505,"CAPIM BRANCO","CAPIM BRANCO","Cerrado","MINAS GERAIS"
2906873,"CAPIM GROSSO","CAPIM GROSSO","Caatinga","BAHIA"
3112604,"CAPINÓPOLIS","CAPINOPOLIS","Cerrado","MINAS GERAIS"
3112604,"CAPINÓPOLIS","CAPINOPOLIS","Mata Atlantica","MINAS GERAIS"
4203907,"CAPINZAL","CAPINZAL","Mata Atlantica","SANTA CATARINA"
2102754,"CAPINZAL DO NORTE","CAPINZAL DO NORTE","Cerrado","MARANHAO"
2302909,"CAPISTRANO","CAPISTRANO","Caatinga","CEARA"
4304697,"CAPITÃO","CAPITAO","Mata Atlantica","RIO GRANDE DO SUL"
3112653,"CAPITÃO ANDRADE","CAPITAO ANDRADE","Mata Atlantica","MINAS GERAIS"
2202406,"CAPITÃO DE CAMPOS","CAPITAO DE CAMPOS","Cerrado","PIAUI"
3112703,"CAPITÃO ENÉAS","CAPITAO ENEAS","Caatinga","MINAS GERAIS"
2202455,"CAPITÃO GERVÁSIO OLIVEIRA","CAPITAO GERVASIO OLIVEIRA","Caatinga","PIAUI"
4104600,"CAPITÃO LEÔNIDAS MARQUES","CAPITAO LEONIDAS MARQUES","Mata Atlantica","PARANA"
1502301,"CAPITÃO POÇO","CAPITAO POCO","Amazonia","PARA"
3112802,"CAPITÓLIO","CAPITOLIO","Cerrado","MINAS GERAIS"
3510401,"CAPIVARI","CAPIVARI","Mata Atlantica","SAO PAULO"
4203956,"CAPIVARI DE BAIXO","CAPIVARI DE BAIXO","Mata Atlantica","SANTA CATARINA"
4304671,"CAPIVARI DO SUL","CAPIVARI DO SUL","Pampa","RIO GRANDE DO SUL"
1200179,"CAPIXABA","CAPIXABA","Amazonia","ACRE"
2603801,"CAPOEIRAS","CAPOEIRAS","Caatinga","PERNAMBUCO"
3112901,"CAPUTIRA","CAPUTIRA","Mata Atlantica","MINAS GERAIS"
4304713,"CARAÁ","CARAA","Mata Atlantica","RIO GRANDE DO SUL"
1400209,"CARACARAÍ","CARACARAI","Amazonia","RORAIMA"
5002803,"CARACOL","CARACOL","Cerrado","MATO GROSSO DO SUL"
2202505,"CARACOL","CARACOL","Caatinga","PIAUI"
3510500,"CARAGUATATUBA","CARAGUATATUBA","Mata Atlantica","SAO PAULO"
3510500,"CARAGUATATUBA","CARAGUATATUBA","Mata Atlantica","SAO PAULO"
3113008,"CARAÍ","CARAI","Mata Atlantica","MINAS GERAIS"
2906899,"CARAÍBAS","CARAIBAS","Caatinga","BAHIA"
4104659,"CARAMBEÍ","CARAMBEI","Mata Atlantica","PARANA"
3113107,"CARANAÍBA","CARANAIBA","Mata Atlantica","MINAS GERAIS"
3113206,"CARANDAÍ","CARANDAI","Mata Atlantica","MINAS GERAIS"
3113305,"CARANGOLA","CARANGOLA","Mata Atlantica","MINAS GERAIS"
3300936,"CARAPEBUS","CARAPEBUS","Mata Atlantica","RIO DE JANEIRO"
3510609,"CARAPICUÍBA","CARAPICUIBA","Mata Atlantica","SAO PAULO"
3113404,"CARATINGA","CARATINGA","Mata Atlantica","MINAS GERAIS"
1301001,"CARAUARI","CARAUARI","Amazonia","AMAZONAS"
2402303,"CARAÚBAS","CARAUBAS","Caatinga","RIO GRANDE DO NORTE"
2504074,"CARAÚBAS","CARAUBAS","Caatinga","PARAIBA"
2202539,"CARAÚBAS DO PIAUÍ","CARAUBAS DO PIAUI","Cerrado","PIAUI"
2906907,"CARAVELAS","CARAVELAS","Mata Atlantica","BAHIA"
2906907,"CARAVELAS","CARAVELAS","Mata Atlantica","BAHIA"
2906907,"CARAVELAS","CARAVELAS","Mata Atlantica","BAHIA"
2906907,"CARAVELAS","CARAVELAS","Mata Atlantica","BAHIA"
2906907,"CARAVELAS","CARAVELAS","Mata Atlantica","BAHIA"
2906907,"CARAVELAS","CARAVELAS","Mata Atlantica","BAHIA"
4304705,"CARAZINHO","CARAZINHO","Mata Atlantica","RIO GRANDE DO SUL"
4304705,"CARAZINHO","CARAZINHO","Pampa","RIO GRANDE DO SUL"
3113503,"CARBONITA","CARBONITA","Cerrado","MINAS GERAIS"
2907004,"CARDEAL DA SILVA","CARDEAL DA SILVA","Mata Atlantica","BAHIA"
3510708,"CARDOSO","CARDOSO","Cerrado","SAO PAULO"
3510708,"CARDOSO","CARDOSO","Mata Atlantica","SAO PAULO"
3301157,"CARDOSO MOREIRA","CARDOSO MOREIRA","Mata Atlantica","RIO DE JANEIRO"
3113602,"CAREAÇU","CAREACU","Mata Atlantica","MINAS GERAIS"
1301100,"CAREIRO","CAREIRO","Amazonia","AMAZONAS"
1301159,"CAREIRO DA VÁRZEA","CAREIRO DA VARZEA","Amazonia","AMAZONAS"
3201308,"CARIACICA","CARIACICA","Mata Atlantica","ESPIRITO SANTO"
2303006,"CARIDADE","CARIDADE","Caatinga","CEARA"
2202554,"CARIDADE DO PIAUÍ","CARIDADE DO PIAUI","Caatinga","PIAUI"
2907103,"CARINHANHA","CARINHANHA","Caatinga","BAHIA"
2801405,"CARIRA","CARIRA","Caatinga","SERGIPE"
2303105,"CARIRÉ","CARIRE","Caatinga","CEARA"
1703867,"CARIRI DO TOCANTINS","CARIRI DO TOCANTINS","Cerrado","TOCANTINS"
2303204,"CARIRIAÇU","CARIRIACU","Caatinga","CEARA"
2303303,"CARIÚS","CARIUS","Caatinga","CEARA"
5102793,"CARLINDA","CARLINDA","Amazonia","MATO GROSSO"
4104709,"CARLÓPOLIS","CARLOPOLIS","Mata Atlantica","PARANA"
4304804,"CARLOS BARBOSA","CARLOS BARBOSA","Mata Atlantica","RIO GRANDE DO SUL"
3113701,"CARLOS CHAGAS","CARLOS CHAGAS","Mata Atlantica","MINAS GERAIS"
4304853,"CARLOS GOMES","CARLOS GOMES","Mata Atlantica","RIO GRANDE DO SUL"
3113800,"CARMÉSIA","CARMESIA","Mata Atlantica","MINAS GERAIS"
3301207,"CARMO","CARMO","Mata Atlantica","RIO DE JANEIRO"
3113909,"CARMO DA CACHOEIRA","CARMO DA CACHOEIRA","Mata Atlantica","MINAS GERAIS"
3114006,"CARMO DA MATA","CARMO DA MATA","Cerrado","MINAS GERAIS"
3114006,"CARMO DA MATA","CARMO DA MATA","Mata Atlantica","MINAS GERAIS"
3114105,"CARMO DE MINAS","CARMO DE MINAS","Mata Atlantica","MINAS GERAIS"
3114204,"CARMO DO CAJURU","CARMO DO CAJURU","Cerrado","MINAS GERAIS"
3114204,"CARMO DO CAJURU","CARMO DO CAJURU","Mata Atlantica","MINAS GERAIS"
3114303,"CARMO DO PARANAÍBA","CARMO DO PARANAIBA","Cerrado","MINAS GERAIS"
3114402,"CARMO DO RIO CLARO","CARMO DO RIO CLARO","Cerrado","MINAS GERAIS"
3114402,"CARMO DO RIO CLARO","CARMO DO RIO CLARO","Mata Atlantica","MINAS GERAIS"
5205000,"CARMO DO RIO VERDE","CARMO DO RIO VERDE","Cerrado","GOIAS"
1703883,"CARMOLÂNDIA","CARMOLANDIA","Amazonia","TOCANTINS"
2801504,"CARMÓPOLIS","CARMOPOLIS","Mata Atlantica","SERGIPE"
3114501,"CARMÓPOLIS DE MINAS","CARMOPOLIS DE MINAS","Mata Atlantica","MINAS GERAIS"
2603900,"CARNAÍBA","CARNAIBA","Caatinga","PERNAMBUCO"
2402402,"CARNAÚBA DOS DANTAS","CARNAUBA DOS DANTAS","Caatinga","RIO GRANDE DO NORTE"
2402501,"CARNAUBAIS","CARNAUBAIS","Caatinga","RIO GRANDE DO NORTE"
2303402,"CARNAUBAL","CARNAUBAL","Caatinga","CEARA"
2603926,"CARNAUBEIRA DA PENHA","CARNAUBEIRA DA PENHA","Caatinga","PERNAMBUCO"
3114550,"CARNEIRINHO","CARNEIRINHO","Cerrado","MINAS GERAIS"
3114550,"CARNEIRINHO","CARNEIRINHO","Mata Atlantica","MINAS GERAIS"
2701803,"CARNEIROS","CARNEIROS","Caatinga","ALAGOAS"
1400233,"CAROEBE","CAROEBE","Amazonia","RORAIMA"
2102804,"CAROLINA","CAROLINA","Cerrado","MARANHAO"
2604007,"CARPINA","CARPINA","Mata Atlantica","PERNAMBUCO"
3114600,"CARRANCAS","CARRANCAS","Mata Atlantica","MINAS GERAIS"
2504108,"CARRAPATEIRA","CARRAPATEIRA","Caatinga","PARAIBA"
1703891,"CARRASCO BONITO","CARRASCO BONITO","Amazonia","TOCANTINS"
2604106,"CARUARU","CARUARU","Caatinga","PERNAMBUCO"
2604106,"CARUARU","CARUARU","Mata Atlantica","PERNAMBUCO"
2102903,"CARUTAPERA","CARUTAPERA","Amazonia","MARANHAO"
2102903,"CARUTAPERA","CARUTAPERA","Amazonia","MARANHAO"
2102903,"CARUTAPERA","CARUTAPERA","Amazonia","MARANHAO"
2102903,"CARUTAPERA","CARUTAPERA","Amazonia","MARANHAO"
2102903,"CARUTAPERA","CARUTAPERA","Amazonia","MARANHAO"
3114709,"CARVALHÓPOLIS","CARVALHOPOLIS","Mata Atlantica","MINAS GERAIS"
3114808,"CARVALHOS","CARVALHOS","Mata Atlantica","MINAS GERAIS"
3510807,"CASA BRANCA","CASA BRANCA","Cerrado","SAO PAULO"
3510807,"CASA BRANCA","CASA BRANCA","Mata Atlantica","SAO PAULO"
3114907,"CASA GRANDE","CASA GRANDE","Mata Atlantica","MINAS GERAIS"
2907202,"CASA NOVA","CASA NOVA","Caatinga","BAHIA"
4304903,"CASCA","CASCA","Mata Atlantica","RIO GRANDE DO SUL"
3115003,"CASCALHO RICO","CASCALHO RICO","Cerrado","MINAS GERAIS"
2303501,"CASCAVEL","CASCAVEL","Caatinga","CEARA"
4104808,"CASCAVEL","CASCAVEL","Mata Atlantica","PARANA"
1703909,"CASEARA","CASEARA","Cerrado","TOCANTINS"
4304952,"CASEIROS","CASEIROS","Mata Atlantica","RIO GRANDE DO SUL"
3301306,"CASIMIRO DE ABREU","CASIMIRO DE ABREU","Mata Atlantica","RIO DE JANEIRO"
2604155,"CASINHAS","CASINHAS","Caatinga","PERNAMBUCO"
2604155,"CASINHAS","CASINHAS","Mata Atlantica","PERNAMBUCO"
2504157,"CASSERENGUE","CASSERENGUE","Caatinga","PARAIBA"
3115102,"CÁSSIA","CASSIA","Cerrado","MINAS GERAIS"
3115102,"CÁSSIA","CASSIA","Mata Atlantica","MINAS GERAIS"
3510906,"CÁSSIA DOS COQUEIROS","CASSIA DOS COQUEIROS","Cerrado","SAO PAULO"
3510906,"CÁSSIA DOS COQUEIROS","CASSIA DOS COQUEIROS","Mata Atlantica","SAO PAULO"
5002902,"CASSILÂNDIA","CASSILANDIA","Cerrado","MATO GROSSO DO SUL"
1502400,"CASTANHAL","CASTANHAL","Amazonia","PARA"
5102850,"CASTANHEIRA","CASTANHEIRA","Amazonia","MATO GROSSO"
1100908,"CASTANHEIRAS","CASTANHEIRAS","Amazonia","RONDONIA"
5205059,"CASTELÂNDIA","CASTELANDIA","Cerrado","GOIAS"
3201407,"CASTELO","CASTELO","Mata Atlantica","ESPIRITO SANTO"
2202604,"CASTELO DO PIAUÍ","CASTELO DO PIAUI","Caatinga","PIAUI"
2202604,"CASTELO DO PIAUÍ","CASTELO DO PIAUI","Cerrado","PIAUI"
3511003,"CASTILHO","CASTILHO","Mata Atlantica","SAO PAULO"
4104907,"CASTRO","CASTRO","Cerrado","PARANA"
4104907,"CASTRO","CASTRO","Mata Atlantica","PARANA"
2907301,"CASTRO ALVES","CASTRO ALVES","Caatinga","BAHIA"
2907301,"CASTRO ALVES","CASTRO ALVES","Mata Atlantica","BAHIA"
